# MISSION PROFILE DATA
# Timestamp: 2026-05-02 16:43:10
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=800.00, I=50.00, D=800.00
# Neutral ADC: 1600
# Bounds: 0 to 4095
# Depth Offset: -0.114 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
136.50,3.680,3240,3300
137.50,3.670,3293,3372
138.51,3.680,3361,3422
139.51,3.680,3416,3497
140.51,3.680,3475,3550
141.51,3.650,3522,3518
142.52,3.550,3477,3476
143.52,3.460,3475,3483
144.53,3.390,3475,3479
145.53,3.340,3475,3498
146.53,3.300,3475,3514
147.54,3.330,3538,3680
148.54,3.150,3418,3168
149.54,2.880,3186,3123
150.54,2.730,3153,3102
151.55,2.620,3100,3052
152.55,2.520,3015,2914
153.56,2.370,2888,2830
154.56,2.280,2799,2778
155.56,2.220,2735,2746
156.57,2.190,2735,2726
157.57,2.180,2734,2725
158.58,2.190,2735,2737
159.58,2.220,2735,2740
160.59,2.170,2664,2581
161.59,2.070,2530,2506
162.59,2.010,2504,2463
163.60,1.990,2204,1179
164.60,2.010,1647,1232
165.60,2.160,1382,1546
166.61,2.390,1486,1639
167.61,2.560,1591,1718
168.61,2.700,1695,1858
169.61,2.810,1789,1915
170.61,2.940,1894,2059
171.62,3.090,2024,2237
172.62,3.270,2183,2434
173.62,3.480,2350,2645
174.62,3.590,2512,2582
175.62,3.580,2579,2702
176.62,3.540,2613,2652
177.63,3.470,2581,2656
178.63,3.420,2616,2663
179.64,3.350,2620,2628
180.64,3.290,2601,2673
181.64,3.200,2572,2606
182.65,3.150,2572,2592
183.65,3.070,2573,2566
184.65,2.990,2518,2506
185.66,2.930,2510,2491
186.66,2.860,2450,2429
187.66,2.790,2420,2411
188.66,2.690,2346,2327
189.67,2.640,2345,2311
190.67,2.550,2231,2246
191.68,2.490,2226,2191
192.68,2.410,2160,2094
193.69,2.350,2111,2026
194.69,2.270,2033,2047
195.69,2.210,1981,1934
196.70,2.110,1860,1845
197.70,2.030,1761,1693
198.70,1.910,1400,1049
199.70,1.820,1085,975
200.71,1.710,909,853
201.71,1.620,894,800
202.72,1.530,849,800
203.73,1.400,849,800
204.74,1.290,850,800
205.74,1.190,850,800
206.75,1.070,849,800
207.76,0.940,850,800
208.77,0.830,850,800
209.78,0.720,850,800
210.79,0.620,850,800
211.80,0.530,850,800
212.81,0.400,850,800
213.82,0.200,850,800
214.83,0.200,830,800
215.84,0.230,810,800
216.85,0.230,809,800
217.85,0.160,809,800
218.86,0.150,810,800
219.87,0.160,810,800
220.88,0.120,809,800
221.88,0.070,810,800
222.89,-0.050,810,800
223.90,-0.050,809,800
224.91,-0.050,809,800
225.92,-0.050,809,800
226.93,-0.050,809,800
227.94,-0.050,809,800
228.95,-0.050,809,800
229.95,-0.050,809,800
230.96,-0.050,809,800
231.97,-0.050,785,800
232.97,-0.050,785,800
233.98,-0.050,785,800
234.99,-0.050,785,800
236.00,-0.050,785,800
237.01,-0.050,785,800
238.02,-0.050,785,800
239.03,-0.050,785,800
240.04,-0.050,785,800
241.05,-0.050,785,800
